# format="Code prestation";"Assuré";"Ascendant, descendant, collatéraux ascendants";"Conjoint";"Conjoint divorcé";"Concubin";"Conjoint séparé";"Enfant";"Conjoint veuf";"Autre ayant-droit";"Age min (mois)";"Age min (années)";"Age max (mois)";"Age max (années)"
"PDM";1;1;1;1;1;1;1;1;1;;;;
"PEX";1;1;1;1;1;1;1;1;1;;;;
"PG7";1;1;1;1;1;1;1;1;1;;;;
"PH1";1;1;1;1;1;1;1;1;1;;;;
"PH2";1;1;1;1;1;1;1;1;1;;;;
"PH4";1;1;1;1;1;1;1;1;1;;;;
"PH7";1;1;1;1;1;1;1;1;1;;;;
"PHA";1;0;1;1;1;1;1;1;1;;;;
"PHN";1;1;1;1;1;1;1;1;1;;;;
"PII";1;1;1;1;1;1;1;1;1;;;;
"PM2";1;1;1;1;1;1;1;1;1;;;;
"PM4";1;1;1;1;1;1;1;1;1;;;;
"PMH";1;1;1;1;1;1;1;1;1;;;;
"PMR";1;1;1;1;1;1;1;1;1;;;;
"POC";1;1;1;1;1;1;1;1;1;;;;
"POD";1;1;1;1;1;1;1;1;1;;;;
"PPI";1;1;1;1;1;1;1;1;1;;;;
"PRO";1;1;1;1;1;1;1;1;1;;;;
"RIN";1;1;1;1;1;1;1;1;1;;;;
"SC";1;1;1;1;1;1;1;1;1;;;;
"SCM";1;1;1;1;1;1;1;1;1;;;;
"SES";1;1;1;1;1;1;1;1;1;;;;
"SF";1;0;1;1;1;1;1;1;1;;;;
"SFI";1;1;1;1;1;1;1;1;1;;;;
"SGA";1;1;1;1;1;1;1;1;1;;;;
"SGN";1;1;1;1;1;1;1;1;1;;;;
"SGS";1;1;1;1;1;1;1;1;1;;;;
"SNG";1;1;1;1;1;1;1;1;1;;;;
"SP";1;1;1;1;1;1;1;1;1;;;;
"SPR";1;1;1;1;1;1;1;1;1;;;;
"STH";1;1;1;1;1;1;1;1;1;;;;
"TB";1;1;1;1;1;1;1;1;1;;;;
"TDR";1;1;1;1;1;1;1;1;1;;;;
"THR";1;1;1;1;1;1;1;1;1;;;;
"TNS";1;1;1;1;1;1;1;1;1;;;;
"TO";1;1;1;1;1;1;1;1;1;;;;
"UPH";1;1;1;1;1;1;1;1;1;;;;
"V";1;1;1;1;1;1;1;1;1;;;;
"VA";1;1;1;1;1;1;1;1;1;;;;
"VAC";1;1;1;1;1;1;1;1;1;;;;
"VDC";1;1;1;1;1;1;1;1;1;;;;
"VEH";1;1;1;1;1;1;1;1;1;;;;
"VER";1;1;1;1;1;1;1;1;1;;;;
"VNP";1;1;1;1;1;1;1;1;1;;;;
"VRD";1;1;1;1;1;1;1;1;1;;;;
"VRM";1;1;1;1;1;1;1;1;1;;;;
"VRN";1;1;1;1;1;1;1;1;1;;;;
"VRS";1;1;1;1;1;1;1;1;1;;;;
"VS";1;1;1;1;1;1;1;1;1;;;;
"Z";1;1;1;1;1;1;1;1;1;;;;
