# format="Code prestation";"Gratuit";"Déplacement non prescrit";"Dépassement exigence";"Entente directe";"Non remboursable";"Dépassement Autorisé";"Dépassement Maîtrisé";"CUMUL Dépassement Autorisé + Entente Directe";"CUMUL Dépassement Maîtrisé + Dépassement Exigence"
"KB";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1";
"KC";"1";"0";"1";"0";"1";"1";"1";"0";"1";"1";
"KE";"1";"0";"1";"0";"1";"1";"1";"0";"1";"1";
"KGP";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";
"KMB";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1";
"KMO";"1";"0";"1";"0";"1";"1";"1";"0";"1";"1";
"KTH";"1";"0";"0";"0";"1";"1";"1";"0";"1";"1";
"LEN";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"LUN";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"MAC";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"MAD";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"MAF";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";
"MAP";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"MAS";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";
"MAU";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"MBB";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";
"MCC";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"MCE";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"MCG";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"MCI";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"MCS";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"MD";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"MDD";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"MDI";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"MDN";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"MGE";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"MHU";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"MM";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"24"
"MM";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"MNO";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"MNP";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"MPC";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"MPF";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";
"MPI";"SO";"0";"0";"0";"0";"0";"0";"0";"0";"1";
"MPJ";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"MTA";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"MTS";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";
"MU";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"OPC";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"OPM";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"OP1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"OP2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"OP3";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"OP4";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"OP5";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"OP6";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"OPT";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"ORP";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"ORT";"1";"0";"1";"1";"1";"0";"0";"1";"1";"1";
"P";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1";
"PA";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";
"PAN";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";
"PAR";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";
"PAU";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"PAV";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"PB";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1";
"PDA";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";
"PDM";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"PEX";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"PFE";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";
"PFM";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";
"PG7";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"PH1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"PH2";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"PH4";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"PH7";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"PHA";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";
"PHN";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"PII";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"PM2";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"PM4";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"PMH";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"PMR";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"POC";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"POD";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"PPI";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"PPP";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"PRO";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";
"RIN";"1";"0";"0";"0";"SO";"0";"0";"0";"0";"0";
"SC";"1";"0";"1";"1";"1";"0";"0";"0";"0";"1";
"SCM";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";
"SDE";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";
"SES";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";
"SF";"1";"1";"1";"0";"1";"0";"0";"0";"0";"1";
"SFI";"1";"1";"1";"0";"1";"0";"0";"0";"0";"1";
"SGA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";
"SGN";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";
"SGS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";
"SNG";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";
"SP";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";
"SPR";"1";"0";"1";"1";"1";"0";"0";"0";"0";"1";
"STH";"1";"0";"0";"0";"0";"1";"1";"0";"0";"1";
"TB";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1";
"TDR";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";
"THR";"1";"0";"0";"0";"0";"1";"1";"0";"0";"1";
"TNS";"0";"0";"0";"0";"1";"SO";"SO";"SO";"SO";"0";
"TO";"1";"0";"1";"1";"1";"0";"0";"0";"0";"1";
"TOR";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";
"UPH";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";
"V";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1";
"VA";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1";
"VAC";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1";
"VDC";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"VEH";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"VER";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"VNP";"1";"0";"1";"0";"1";"1";"0";"0";"0";"1";
"VRD";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"VRM";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"VRN";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"VRS";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";
"VS";"1";"0";"1";"0";"1";"1";"0";"0";"0";"1";
"Z";"1";"0";"1";"0";"1";"1";"1";"0";"1";"1";
