# format="Specialite","Code prestation"
"32","C,CNP,CRD,CRM,CRN,CST,HN,ID,IK,IKM,IKS,K,KA,KC,KCC,KE,KMO,KTH,MCS,MPC,MPJ,PAV,PRA,SES,STH,TDR,THR,V,VA,VNP,VRD,VRM,VRN,Z,ZN"
"33","C,CNP,CRD,CRM,CRN,CST,HN,ID,IK,IKM,IKS,K,KA,KC,KCC,KE,KMO,KTH,MAF,MCS,MPC,MPF,MPJ,PAV,PRA,SES,STH,TDR,THR,V,VA,VNP,VRD,VRM,VRN,VNP,Z,ZN"
"34","C,CRD,CRM,CRN,CS,CST,HN,ID,IK,IKM,IKS,K,KA,KC,KE,KMO,KTH,MCS,MPC,PAV,SES,STH,TDR,THR,V,VA,VRD,VRM,VRN,VS,Z"
"35","C,CRD,CRM,CRN,CS,CST,HN,ID,IK,IKM,IKS,K,KA,KC,KCC,KE,KTH,MCS,MPC,MPJ,PAV,PRA,SES,STH,TDR,THR,V,VA,VRD,VRM,VRN,VS,Z,ZN"
"36","BDC,BR2,BR4,C,CS,D,DC,FDA,FDC,FDO,FDR,HN,IF,IK,IKM,IKS,RIN,SC,SPR,TO,VS,Z"
"37","C,CRD,CRM,CRN,CS,HN,ID,IK,IKM,IKS,K,KC,KCC,KE,KFA,KFB,MAP,MPC,MPJ,P,PAV,PRA,TDR,V,VRD,VRM,VRN,VS,Z,ZN"
"38","C,CRD,CRM,CRN,CS,ID,IK,IKM,IKS,K,KE,MPC,MPJ,PAV,PRA,V,VRD,VRM,VRN,VS,Z,ZN"
"39","AMI,B,HN,ID,IFA,IK,IKM,IKS,K,KB,MM,PB,TB"
"40","B,HN,ID,IK,IKM,IKS,K,KB,PB"
"41","C,CRD,CRM,CRN,CS,CST,HN,ID,IK,IKM,IKS,K,KA,KC,KCC,KE,KFA,KFB,KTH,MCS,MPC,MPJ,MTC,PAV,PRA,SES,STH,TDR,THR,V,VA,VRD,VRM,VRN,VS,Z,ZN"
"42","C,CRD,CRM,CRN,CS,CST,FHV,FMV,HN,ID,IK,IKM,IKS,K,KA,KC,KCC,KE,KTH,MCE,MCS,MPC,MPJ,PAV,PRA,SES,STH,TDR,THR,V,VA,VRD,VRM,VRN,VS,Z,ZN"
"43","C,CRD,CRM,CRN,CS,CST,HN,ID,IK,IKM,IKS,K,KA,KC,KCC,KE,KFA,KFB,KTH,MCS,MPC,MPJ,MTC,PAV,SES,STH,TDR,THR,V,VA,VRD,VRM,VRN,VS,Z"
"44","C,CRD,CRM,CRN,CS,CST,FDO,HN,ID,IK,IKM,IKS,K,KA,KC,KCC,KE,KFA,KFB,KTH,MCS,MPC,MPJ,MTC,ORT,PAV,SES,STH,TDR,THR,V,VA,VRD,VRM,VRN,VS,Z"
"45","C,CRD,CRM,CRN,CS,CST,FDA,FDC,FDO,FDR,HN,ID,IK,IKM,IKS,K,KA,KC,KCC,KE,KFA,KFB,KMO,KTH,MCS,MPC,MPJ,MTC,ORT,PAV,PRO,SCM,SES,STH,TDR,THR,V,VA,VRD,VRM,VRN,VS,Z"
"46","C,CRD,CRM,CRN,CS,CST,HN,ID,IK,IKM,IKS,K,KA,KC,KCC,KE,KFA,KFB,KTH,MCS,MPC,MPJ,PAV,SES,STH,TDR,THR,V,VA,VRD,VRM,VRN,VS,Z"
"47","C,CRD,CRM,CRN,CS,CST,HN,ID,IK,IKM,IKS,K,KA,KC,KCC,KE,KFA,KFB,KTH,MCS,MPC,MPJ,MTC,PAV,PRA,SES,STH,TDR,THR,V,VA,VRD,VRM,VRN,VS,Z,ZN"
"48","C,CRD,CRM,CRN,CS,CST,HN,ID,IK,IKM,IKS,K,KA,KC,KCC,KE,KFA,KFB,KTH,MCS,MPC,MPJ,MTC,PAV,PRA,SES,STH,TDR,THR,V,VA,VRD,VRM,VRN,VS,Z,ZN"
"49","C,CRD,CRM,CRN,CS,CST,HN,ID,IK,IKM,IKS,K,KA,KC,KCC,KE,KFA,KFB,KTH,MCS,MPC,MPJ,MTC,PAV,PRA,SES,STH,TDR,THR,V,VA,VRD,VRM,VRN,VS,Z,ZN"
"50","AAD,AAR,ARO,B,CPH,MAC,MAD,MHU,MPI,PA,PAN,PDM,PG7,PH1,PH2,PH4,PH7,PHA,PHN,PII,PM2,PM4,PMH,PMR,SNG,UPH,COR,GLU,LEN,LUN,OPT,ORP,PAU,PEX,POC,TNS,VEH,VER"
"51","AAD,AAR,ARO,B,CPH,MAC,MAD,MHU,MPI,PA,PAN,PDM,PG7,PH1,PH2,PH4,PH7,PHA,PHN,PII,PM2,PM4,PMH,PMR,SNG,UPH,COR,GLU,LEN,LUN,OPT,ORP,PAU,PEX,POC,TNS,VEH,VER"
"70","C,CRD,CRM,CRN,CS,CST,FHV,FMV,HN,ID,IK,IKM,IKS,K,KA,KC,KCC,KE,KFD,KTH,MCS,MPC,MPJ,PAV,SES,STH,TDR,THR,V,VA,VRD,VRM,VRN,VS,Z,ZM"
"71","C,CRD,CRM,CRN,CS,CST,HN,ID,IK,IKM,IKS,K,KA,KC,KCC,KE,KTH,MCS,MPC,MPJ,PAV,SES,STH,TDR,THR,V,VA,VRD,VRM,VRN,VS,Z"
"72","C,CRD,CRM,CRN,CS,CST,HN,ID,IK,IKM,IKS,K,KA,KC,KCC,KE,KTH,MCS,MPC,MPJ,PAV,PRA,SES,STH,TDR,THR,V,VA,VRD,VRM,VRN,VS,Z,,ZM,ZN"
"73","C,CRD,CRM,CRN,CS,CST,HN,ID,IK,IKM,IKS,K,KA,KC,KCC,KE,KTH,MCS,MPC,MPJ,PAV,SES,STH,TDR,THR,V,VA,VRD,VRM,VRN,VS,Z,ZM"
"74","C,CRD,CRM,CRN,CS,CST,HN,ID,IK,IKM,IKS,K,KA,KC,KCC,KE,KTH,MCS,MPC,MPJ,PAV,PRA,SES,STH,TDR,THR,V,VA,VRD,VRM,VRN,VS,Z,,ZM,ZN"
"75","C,CNP,CRD,CRM,CRN,CST,HN,ID,IK,IKM,IKS,K,KA,KC,KCC,KE,KMO,KTH,MAF,MCS,MPC,MPF,MPJ,PAV,SES,STH,TDR,THR,V,VA,VNP,VRD,VRM,VRN,Z"
"76","C,CRD,CRM,CRN,CS,CST,FTN,FTR,HN,ID,IK,IKM,IKS,K,KA,KC,KCC,KE,MCS,MPC,MPJ,PAV,PRA,SES,TDR,V,VA,VRD,VRM,VRN,VS,Z,ZM,ZN"
"77","C,CRD,CRM,CRN,CS,CST,FHV,FMV,HN,ID,IK,IKM,IKS,K,KA,KC,KCC,KE,KFD,KTH,MCS,MPC,MPJ,MTC,PAV,SES,STH,TDR,THR,V,VA,VRD,VRM,VRN,VS,Z,ZM"
"78","C,CRD,CRM,CRN,CS,CST,HN,KE,KTH,MCS,MPC,MPJ,PAV,STH,TDR,THR,VRD,VRM,VRN"
"79","C,CRD,CRM,CRN,CS,CST,FHV,FMV,HN,ID,IK,IKM,IKS,K,KA,KC,KE,KFD,KTH,MCS,MPC,MPJ,PAV,SES,STH,TDR,THR,V,VA,VRD,VRM,VRN,VS,Z"
"80","C,CRD,CRM,CRN,CS,CST,HN,ID,IK,IKM,IKS,K,KA,KC,KE,KTH,MCS,MPC,MPJ,PAV,SES,STH,TDR,THR,V,VA,VRD,VRM,VRN,VS,Z"
